IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_100_N
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2002,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2005,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2001,95
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2004,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2000,85
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2003,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2009,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2016,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2023,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2012,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2019,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2008,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2015,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2022,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2011,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2018,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2007,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2014,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2021,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2006,98
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2010,97
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2013,96
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2017,99
F8E084C,DTP3 immunization coverage (age 1),COUNTRY,392,Japan,YEAR,2020,96
